연번,역번호,호선,역명,역전화번호,Unnamed: 5,도로명주소,지번주소,Latitude,Longitude
186,2620,6,월드컵경기장(성산),02-6311-6191,,서울특별시 마포구 월드컵로 지하240(성산동),서울특별시 마포구 성산동 420 월드컵경기장역(6호선),37.5696869,126.8991122
187,2621,6,마포구청,02-6311-6201,,서울특별시 마포구 월드컵로 지하190(성산동),서울특별시 마포구 성산동 592 마포구청역(6호선),37.5645802,126.9030928
188,2622,6,망원,02-6311-6211,,서울특별시 마포구 월드컵로 지하77(망원동),서울특별시 마포구 망원동 378 망원역(6호선),37.5557572,126.909907
190,2624,6,상수,02-6311-6231,,서울특별시 마포구 독막로 지하85(상수동),서울특별시 마포구 상수동 309-10 상수역(6호선),37.5479961,126.9228324
191,2625,6,광흥창(서강),02-6311-6241,,서울특별시 마포구 독막로 지하165(창전동),서울특별시 마포구 창전동 145-17 광흥창역(6호선),37.5474649,126.9324572
192,2626,6,대흥(서강대앞),02-6311-6251,,서울특별시 마포구 대흥로 지하85(대흥동),서울특별시 마포구 대흥동 128-1 대흥역(6호선),37.5477293,126.9423787
194,2628,6,효창공원앞,02-6311-6271,,서울특별시 용산구 백범로 지하287(효창동),서울특별시 용산구 효창동 80 효창공원앞역(6호선),37.539289,126.961339
196,2630,6,녹사평(용산구청),02-6311-6291,,서울특별시 용산구 녹사평대로 지하195(용산동4가),서울특별시 용산구 용산동4가 4 녹사평역(6호선),37.534429,126.987141
197,2631,6,이태원,02-6311-6301,,서울특별시 용산구 이태원로 지하177(이태원동),서울특별시 용산구 이태원동 119-23 이태원역(6호선),37.5345469,126.9946497
198,2632,6,한강진,02-6311-6311,,서울특별시 용산구 이태원로 지하287(한남동),서울특별시 용산구 한남동 726-494 한강진역(6호선),37.539838,127.001766
199,2633,6,버티고개,02-6311-6321,,서울특별시 중구 다산로 지하38(신당동),서울특별시 중구 신당동 366-454 버티고개역(6호선),37.5479265,127.0069676
204,2638,6,창신,02-6311-6371,,서울특별시 종로구 지봉로 지하112(창신동),서울특별시 종로구 창신동 20-8 창신역(6호선),37.579369,127.015299
205,2639,6,보문,02-6311-6381,,서울특별시 성북구 보문로 지하116(보문동1가),서울특별시 성북구 보문동1가 127-1 보문역(6호선),37.5857743,127.0197148
206,2640,6,안암(고대병원앞),02-6311-6391,,서울특별시 성북구 고려대로 지하89(안암동5가),서울특별시 성북구 안암동5가 146-1 안암역(6호선),37.586091,127.0293717
207,2641,6,고려대(종암),02-6311-6401,,서울특별시 성북구 종암로 지하1(종암동),서울특별시 성북구 종암동 29-18 고려대역(6호선),37.590403,127.035926
208,2642,6,월곡(동덕여대),02-6311-6411,,서울특별시 성북구 월곡로 지하107(하월곡동),서울특별시 성북구 하월곡동 35-1 월곡역(6호선),37.6017485,127.0414156
209,2643,6,상월곡(한국과학기술연구원),02-6311-6421,,서울특별시 성북구 화랑로 지하157(상월곡동),서울특별시 성북구 상월곡동 26-1 상월곡역(6호선),37.6070859,127.0498308
210,2644,6,돌곶이,02-6311-6431,,서울특별시 성북구 화랑로 지하243(석관동),서울특별시 성북구 석관동 349-8 돌곶이역(6호선),37.610493,127.056403
211,2645,6,석계,02-6311-6441,,서울특별시 노원구 화랑로 지하 347-1(월계동),서울특별시 노원구 월계동 25-2 석계역(6호선),37.6152692,127.0668174
212,2646,6,태릉입구,02-6311-7171,,서울특별시 노원구 동일로 지하 992-1(공릉동),서울특별시 노원구 공릉동 616-4 태릉입구역(6호선),37.6191428,127.0751362
213,2647,6,화랑대(서울여대입구),02-6311-6461,,서울특별시 노원구 화랑로 지하510(공릉동),서울특별시 노원구 공릉동 285-2 화랑대역(6호선),37.6201696,127.0843884
214,2648,6,봉화산(서울의료원),02-6311-6471,,서울특별시 중랑구 신내로 지하232(신내동),서울특별시 중랑구 신내동 643-1 봉화산역(6호선),37.6164233,127.0933159
215,2649,6,신내,02-6311-6481,,서울특별시 중랑구 용마산로136길 33 신내차량기지,서울특별시 중랑구 신내동 19 신내역(6호선),37.6126681,127.1032127
216,2711,7,장암,02-6311-7091,,경기도 의정부시 동일로 121(장암동),경기도 의정부시 장암동 160-8 장암역(7호선),37.6998254,127.0530973
217,2712,7,도봉산,02-6311-7101,,서울특별시 도봉구 도봉로 964-40(도봉동),서울특별시 도봉구 도봉동 38-3 도봉산역(7호선),37.6890338,127.0466673
218,2713,7,수락산,02-6311-7111,,서울특별시 노원구 동일로 지하1662(상계동),서울특별시 노원구 상계동 1132-9 수락산역(7호선),37.6774544,127.0553493
219,2714,7,마들,02-6311-7121,,서울특별시 노원구 동일로 지하1530-1(상계동),서울특별시 노원구 상계동 650 마들역(7호선),37.6676164,127.0570136
221,2716,7,중계,02-6311-7141,,서울특별시 노원구 동일로 지하1308-1(중계동),서울특별시 노원구 중계동 503-3 중계역(7호선),37.6447079,127.0642313
222,2717,7,하계,02-6311-7151,,서울특별시 노원구 동일로 지하1196(하계동),서울특별시 노원구 하계동 273-5 하계역(7호선),37.6352525,127.0685278
223,2718,7,공릉(서울과학기술대),02-6311-7161,,서울특별시 노원구 동일로 지하1074(공릉동),서울특별시 노원구 공릉동 385-4 공릉역(7호선),37.625762,127.0727485
225,2720,7,먹골,02-6311-7181,,서울특별시 중랑구 동일로 지하901(묵동),서울특별시 중랑구 묵동 189-5 먹골역(7호선),37.6108634,127.0777179
226,2721,7,중화,02-6311-7191,,서울특별시 중랑구 동일로 지하797(중화동),서울특별시 중랑구 중화동 50-3 중화역(7호선),37.6017123,127.0790562
227,2722,7,상봉(시외버스터미널),02-6311-7201,,서울특별시 중랑구 망우로 297(상봉동),서울특별시 중랑구 상봉동 100-9 상봉역(7호선),37.5967657,127.0860297
228,2723,7,면목,02-6311-7211,,서울특별시 중랑구 면목로 지하407(면목동),서울특별시 중랑구 면목동 282-6 면목역(7호선),37.5892178,127.0873554
229,2724,7,사가정,02-6311-7221,,서울특별시 중랑구 사가정로 지하393(면목동),서울특별시 중랑구 면목동 495 사가정역(7호선),37.5825672,127.0881295
230,2725,7,용마산(용마폭포공원),02-6311-7231,,서울특별시 중랑구 용마산로 지하227(면목동),서울특별시 중랑구 면목동 1316-5 용마산역(7호선),37.5740327,127.0870583
231,2726,7,중곡,02-6311-7241,,서울특별시 광진구 능동로 지하417(중곡동),서울특별시 광진구 중곡동 273-2 7호선 중곡역(7호선),37.5632225,127.0827532
233,2728,7,어린이대공원(세종대),02-6311-7261,,서울특별시 광진구 능동로 지하210(화양동),서울특별시 광진구 화양동 164-1 어린이대공원역(7호선),37.5471331,127.0739626
235,2730,7,뚝섬유원지,02-6311-7281,,서울특별시 광진구 능동로 10(자양동),서울특별시 광진구 자양동 73-2 뚝섬유원지역(7호선),37.5319488,127.0670071
236,2731,7,청담,02-6311-7291,,서울특별시 강남구 학동로 지하508(청담동),서울특별시 강남구 청담동 77-76 청담역(7호선),37.518721,127.0492085
237,2732,7,강남구청,02-6311-7301,,서울특별시 강남구 학동로 지하346(삼성동),서울특별시 강남구 삼성동 111-44 강남구청역(7호선),37.517473,127.0411685
238,2733,7,학동,02-6311-7311,,서울특별시 강남구 학동로 지하180(논현동),서울특별시 강남구 논현동 279-67 학동역(7호선),37.5142998,127.0317742
239,2734,7,논현,02-6311-7321,,서울특별시 강남구 학동로 지하102(논현동),서울특별시 강남구 논현동 279-67 논현역(7호선),37.5142998,127.0317742
240,2735,7,반포,02-6311-7331,,서울특별시 서초구 신반포로 지하241(잠원동),서울특별시 서초구 잠원동 103 반포역(7호선),37.5082986,127.0118194
242,2737,7,내방,02-6311-7351,,서울특별시 서초구 서초대로 지하103(방배동),서울특별시 서초구 방배동 874-16 내방역(7호선),37.4881269,126.9932148
243,2738,7,이수,02-6311-7361,,서울특별시 동작구 사당로 지하310(사당동),서울특별시 동작구 사당동 144-4 이수역(7호선),37.4853818,126.9821433
244,2739,7,남성,02-6311-7371,,서울특별시 동작구 사당로 지하218(사당동),서울특별시 동작구 사당동 산25-33 남성역(7호선),37.4847362,126.9711165
245,2740,7,숭실대입구(살피재),02-6311-7381,,서울특별시 동작구 상도로 지하378(상도동),서울특별시 동작구 상도동 514 숭실대입구역(7호선),37.4958252,126.9540533
246,2741,7,상도,02-6311-7391,,서울특별시 동작구 상도로 지하272(상도1동),서울특별시 동작구 상도1동 702-1 상도역(중대입구역)(7호선),37.5035164,126.9472869
247,2742,7,장승배기,02-6311-7401,,서울특별시 동작구 상도로 지하188(상도동),서울특별시 동작구 상도동 26-20 장승배기역(7호선),37.5047201,126.941072
248,2743,7,신대방삼거리,02-6311-7411,,서울특별시 동작구 상도로 지하76(대방동),서울특별시 동작구 대방동 406-10 신대방삼거리역(7호선),37.499653,126.9277067
249,2744,7,보라매,02-6311-7421,,서울특별시 동작구 상도로 지하2(대방동),서울특별시 동작구 대방동 466-51 보라매역(7호선),37.499929,126.920282
250,2745,7,신풍,02-6311-7431,,서울특별시 영등포구 신풍로 지하27(신길동),서울특별시 영등포구 신길동 3599 신풍역(7호선),37.5003095,126.9094012
252,2747,7,남구로,02-6311-7451,,서울특별시 구로구 도림로 지하7(구로동),서울특별시 구로구 구로동 801-95 남구로역(7호선),37.4860154,126.8872302
253,2748,7,가산디지털단지,02-6311-7461,,서울특별시 금천구 벚꽃로 309(가산동),서울특별시 금천구 가산동 468-4 가산디지털단지역(7호선),37.479545,126.882218
254,2749,7,철산,02-6311-7471,,경기도 광명시 철산로 지하13(철산동),경기도 광명시 철산동 526 철산역(7호선),37.4767096,126.8699829
255,2750,7,광명사거리,02-6311-7481,,경기도 광명시 오리로 지하980(광명동),경기도 광명시 광명동 158-211 광명사거리역(7호선),37.4794911,126.8546779
256,2751,7,천왕,02-6311-7491,,서울특별시 구로구 오리로 지하1154(천왕동),서울특별시 구로구 천왕동 14-25 천왕역(7호선),37.4871479,126.8384079
257,2752,7,온수(성공회대입구),02-6311-7501,,서울특별시 구로구 경인로3길 지하64(온수동),서울특별시 구로구 온수동 119 온수역(7호선),37.4913706,126.8214294
258,2811,8,암사,02-6311-8101,,서울특별시 강동구 올림픽로 지하776(암사동),서울특별시 강동구 암사동 501 암사역(8호선),37.5511435,127.1281759
260,2813,8,강동구청,02-6311-8121,,서울특별시 강동구 올림픽로 지하550(성내동),서울특별시 강동구 성내동 319 강동구청역(8호선),37.5307146,127.121838
261,2814,8,몽촌토성(평화의문),02-6311-8131,,서울특별시 송파구 올림픽로 지하383(신천동),서울특별시 송파구 신천동 19 몽촌토성역(8호선),37.5169837,127.1107635
263,2816,8,석촌,02-6311-8151,,서울특별시 송파구 송파대로 지하439(석촌동),서울특별시 송파구 석촌동 209 석촌역(8호선),37.5066365,127.1056227
264,2817,8,송파,02-6311-8161,,서울특별시 송파구 송파대로 지하354(가락동),서울특별시 송파구 가락동 459-4 송파역(8호선),37.4998731,127.1121032
266,2819,8,문정,02-6311-8181,,서울특별시 송파구 송파대로 지하179(문정동),서울특별시 송파구 문정동 119-4 문정역(8호선),37.487762,127.1215247
267,2820,8,장지,02-6311-8191,,서울특별시 송파구 송파대로 지하82(장지동),서울특별시 송파구 장지동 201-5 장지역(8호선),37.4785871,127.1262269
268,2821,8,복정,02-6311-8201,,서울특별시 송파구 송파대로 지하6(장지동),서울특별시 송파구 장지동 596-21 복정역(8호선),37.4706579,127.1267053
269,2828,8,남위례,02-6311-8211,,경기도 성남시 수정구 공원로 601(복정동),경기도 성남시 수정구 복정동 57 남위례역(8호선),37.46307,127.1391515
270,2822,8,산성,02-6311-8221,,경기도 성남시 수정구 수정로 지하365(신흥동),경기도 성남시 수정구 신흥동 7 산성역(8호선),37.457001,127.150027
271,2823,8,남한산성입구(성남법원?검찰청),02-6311-8231,,경기도 성남시 수정구 산성대로 지하445(단대동),경기도 성남시 수정구 단대동 96 남한산성입구역(8호선),37.4492733,127.1582031
272,2824,8,단대오거리,02-6311-8241,,경기도 성남시 수정구 산성대로 지하365(신흥동),경기도 성남시 수정구 신흥동 2467 단대오거리역(8호선),37.44505,127.156709
273,2825,8,신흥,02-6311-8251,,경기도 성남시 수정구 산성대로 지하280(신흥동),경기도 성남시 수정구 신흥동 2467 신흥역(8호선),37.440956,127.147509
274,2826,8,수진,02-6311-8261,,경기도 성남시 수정구 산성대로 지하200(수진동),경기도 성남시 수정구 수진동 2205-1 수진역(8호선),37.4376051,127.1409692
275,2827,8,모란,02-6311-8271,,경기도 성남시 수정구 산성대로 지하100(수진동),경기도 성남시 수정구 수진동 4518 모란역(8호선),37.4342602,127.1295725
276,4126,9,언주,02-2656-0926,,서울특별시 강남구 봉은사로 지하201(논현동),서울특별시 강남구 논현동 279-165 언주역(9호선),37.507323,127.033903
277,4127,9,선정릉,02-2656-0927,,서울특별시 강남구 선릉로 지하580(삼성동),서울특별시 강남구 삼성동 111-114 선정릉역(9호선),37.510537,127.0445954
278,4128,9,삼성중앙,02-2656-0928,,서울특별시 강남구 봉은사로 지하501(삼성동),서울특별시 강남구 삼성동 111-147 삼성중앙역(9호선),37.5128889,127.0526509
279,4129,9,봉은사,02-2656-0929,,서울특별시 강남구 봉은사로 지하601(삼성동),서울특별시 강남구 삼성동 172 봉은사역(9호선),37.5147697,127.0632364
281,4131,9,삼전,02-2656-0931,,서울특별시 송파구 백제고분로 지하189(잠실동),서울특별시 송파구 잠실동 347 삼전역(9호선),37.503873,127.089064
282,4132,9,석촌고분,02-2656-0932,,서울특별시 송파구 백제고분로 지하274(삼전동),서울특별시 송파구 삼전동 157-1 석촌고분역(9호선),37.5023914,127.0969191
284,4134,9,송파나루,02-2656-0934,,서울특별시 송파구 백제고분로 지하446(방이동),서울특별시 송파구 방이동 2 송파나루역(9호선),37.5102409,127.1122312
285,4135,9,한성백제,02-2656-0935,,서울특별시 송파구 위례성대로 지하29(방이동),서울특별시 송파구 방이동 88-17 한성백제역(9호선),37.516224,127.1176436
287,4137,9,둔촌오륜,02-2656-0937,,서울특별시 강동구 강동대로 지하303(둔촌동),서울특별시 강동구 둔촌동 227-7 둔촌오륜역(9호선),37.519296,127.138675
288,4138,9,중앙보훈병원,02-2656-0938,,서울특별시 강동구 동남로 지하625(둔촌동),서울특별시 강동구 둔촌동 8-1 중앙보훈병원역(9호선),37.5268002,127.1476326
